ID PIP,ID MS,TIP_SWAP,Fecha de Inicio,Fecha de Vencimiento,Nominal Recibe,Tasa de Referencia Recibe,Tasa Fija Recibe,Spread Recibe,Nominal Entrega,Tasa de Referencia Entrega,Tasa Fija Entrega,Spread Entrega,Pata Larga,Pata Corta,Valuación
MSCB0000370,1segd,1MXPTIE,09/07/2012,02/07/2018,90000000,T028,0,0,90000000,T028,5.2528,0,13347851.72,14705722.17,-1357870.446
MSCB0000371,1segg,1MXPTIE,09/07/2012,19/06/2028,30000000,T028,0,0,30000000,T028,6.375,0,17436564.84,17836866.71,-400301.8711
MSCB0000372,1segs,1MXPTIE,09/07/2012,02/07/2018,230000000,T028,0,0,230000000,T028,5.2528,0,34111176.63,37581289.99,-3470113.362
MSCB0000373,1segt,1MXPTIE,09/07/2012,02/07/2018,150000000,T028,0,0,150000000,T028,5.2528,0,22246419.54,24509536.95,-2263117.41
MSCB0000374,1seh0,1MXPTIE,09/07/2012,19/06/2028,174500000,T028,0,0,174500000,T028,6.375,0,101422685.5,103751108,-2328422.55
MSCB0000378,1sfq1,1MXPTIE,18/07/2012,23/03/2018,120000000,T028,0,0,120000000,T028,5.114,0,15959144.94,17441492,-1482347.067
MSCB0000379,1sfq3,1MXPTIE,18/07/2012,17/09/2021,300000000,T028,0,0,300000000,T028,5.513,0,94426290.42,92966417.12,1459873.304
MSCB0000384,1ab4y,1MXPTIE,23/11/2012,28/02/2020,36000000,T028,0,0,36000000,T028,8.02,0,8517035.756,12991675.46,-4474639.704
MSCB0000386,1ab50,1MXPTIE,23/11/2012,01/11/2019,34000000,T028,0,0,34000000,T028,8.18,0,7401927.421,11642537.02,-4240609.602
MSCB0000387,1ab52,1MXPTIE,23/11/2012,15/10/2019,34000000,T028,0,0,34000000,T028,8.4,0,7372576.386,11985097.43,-4612521.043
MSCB0000388,1ab53,1MXPTIE,23/11/2012,23/02/2021,80000000,T028,0,0,80000000,T028,8.023,0,22763416.18,33189246.19,-10425830.01
MSCB0000389,1ab57,1MXPTIE,23/11/2012,22/09/2020,54000000,T028,0,0,54000000,T028,6.565,0,14280093.95,17371076.99,-3090983.04
MSCB0000390,1ab58,1MXPTIE,23/11/2012,26/01/2022,75000000,T028,0,0,75000000,T028,6.45,0,25024670.4,28502652.85,-3477982.452
MSCB0000391,1ab5a,1MXPTIE,23/11/2012,11/09/2019,230000000,T028,0,0,230000000,T028,6.25,0,48887245.35,59497477.16,-10610231.81
MSCB0000393,1ab5p,1MXPTIE,23/11/2012,23/11/2016,159033000,T028,0,0,159033000,T028,6.498,0,10789532.62,17109956.65,-6320424.033
MSCB0000394,1ab5r,1MXPTIE,23/11/2012,04/04/2018,70000000,T028,0,0,70000000,T028,8.06,0,9531688.409,16448551.65,-6916863.245
MSCB0000395,1ab5s,1MXPTIE,23/11/2012,24/08/2018,44000000,T028,0,0,44000000,T028,8.83,0,6878197.426,12613266.93,-5735069.504
MSCB0000397,1ab6g,1MXPTIE,23/11/2012,30/07/2024,23000000,T028,0,0,23000000,T028,8.65,0,10137430.67,14707075.69,-4569645.02
MSCB0000398,1ab6j,1MXPTIE,23/11/2012,19/06/2028,49500000,T028,0,0,49500000,T028,6.375,0,28770331.99,29430830.08,-660498.0874
MSCB0000400,1ab6s,1MXPTIE,23/11/2012,12/05/2027,39267000,T028,0,0,39267000,T028,7.531,0,21462350.58,26238242.45,-4775891.878
MSCB0000432,1arkp,1MXPTIE,29/01/2013,14/11/2025,190000000,T028,0,0,190000000,T028,5.922,0,93436505.63,91158688.75,2277816.878
MSCB0000433,1arkr,1MXPTIE,29/01/2013,14/11/2025,60000000,T028,0,0,60000000,T028,5.922,0,29506264.93,28786954.34,719310.593
MSCB0000434,1arks,1MXPTIE,29/01/2013,14/11/2025,370000000,T028,0,0,370000000,T028,5.922,0,181955300.4,177519551.8,4435748.657
MSCB0000448,1aurs,1MXPTIE,08/02/2013,23/11/2016,954907000,T028,0,0,954907000,T028,4.704,0,64785297.56,74372150.73,-9586853.168
MSCB0000449,1aus8,1MXPTIE,08/02/2013,23/11/2016,809692000,T028,0,0,809692000,T028,4.704,0,54933241.82,63062199.21,-8128957.391
MSCB0000464,3q654,6LUSUSD,27/03/2013,03/04/2023,500000,LUS182,2.0045,0,500000,LUS091,0,0,1223589.747,1097795.067,125794.6798
MSCB0000465,3q65a,6LUSUSD,27/03/2013,03/04/2023,14000000,LUS182,2.0045,0,14000000,LUS091,0,0,34260512.91,30738261.87,3522251.035
MSCB0000466,3q65b,6LUSUSD,27/03/2013,03/04/2023,54125000,LUS182,2.0045,0,54125000,LUS091,0,0,132453590.1,118836316,13617274.09
MSCB0000467,3q65c,6LUSUSD,27/03/2013,03/04/2023,31375000,LUS182,2.0045,0,31375000,LUS091,0,0,76780256.6,68886640.44,7893616.159
MSCB0000519,3qgnr,1MXPTIE,25/04/2013,10/08/2020,78000000,T028,0,0,78000000,T028,4.964,0,20067535.09,18491487.96,1576047.133
MSCB0000520,3qgns,1MXPTIE,25/04/2013,17/04/2020,37000000,T028,0,0,37000000,T028,4.922,0,8938666.837,8276875.739,661791.0987
MSCB0000524,3qgp7,1MXPTIE,25/04/2013,17/04/2020,467000000,T028,0,0,467000000,T028,4.922,0,112820470.6,104467593.8,8352876.84
MSCB0000525,3qgp8,1MXPTIE,25/04/2013,17/04/2020,330000000,T028,0,0,330000000,T028,4.922,0,79723244.77,73820783.62,5902461.151
MSCB0000526,3qgp9,1MXPTIE,25/04/2013,17/04/2020,166000000,T028,0,0,166000000,T028,4.922,0,40103207.97,37134091.15,2969116.821
MSCB0000531,3qvjd,6LUSUSD,03/06/2013,05/06/2023,31500000,LUS182,2.2713,0,31500000,LUS091,0,0,87820367.69,70887755.86,16932611.83
